%   Sensor                 x[m]                 y[m]
       141      0.7455865800565    -0.01677279408708
       142      0.7438575922363     -0.0170068587864
       143      0.7425261065798    -0.01718760827354
       144      0.7417360134763    -0.01729506779974
       145      0.7413382324506    -0.01734922614867
       146       0.740477609134    -0.01746652788262
       147      0.7390273665623    -0.01766458426637
       148      0.7371443577793    -0.01792245662081
       149      0.7350326385518    -0.01821258006893
       150       0.732921047304    -0.01850363361409
       151      0.7310383684926    -0.01876390404693
       152      0.7295885187491    -0.01896481532285
       153      0.7287281856031    -0.01908422588063
       154      0.7283503094827    -0.01913671776777
       155      0.7276425221225    -0.01923511018429
       156      0.7264498100647     -0.0194011206461
       157      0.7249011547283    -0.01961705247858
       158       0.723164364557     -0.0198597102057
       159      0.7214276435893    -0.02010286276083
       160      0.7198791666814    -0.02032007041329
       161      0.7186866670412    -0.02048759972806
